Date,Close/Last,Volume,Open,High,Low
07/08/2019,64.11,"28,359",64.37,65.13,63.8
07/05/2019,64.23,"33,351",63.28,64.52,62.91
07/03/2019,63.82,"10,182",63.88,64.06,62.95
07/02/2019,62.4,"46,602",65.19,65.5,62.23
07/01/2019,65.06,"40,858",65.28,66.74,64.22
06/28/2019,64.74,"1,798",66.65,66.78,66.06
06/27/2019,66.55,"8,906",66.09,66.79,65.65
06/26/2019,66.49,"24,628",65.77,66.86,65.61
06/25/2019,65.05,"34,950",64.72,65.96,64.18
06/24/2019,64.86,"37,503",65.54,65.8,64.1
06/21/2019,65.2,"49,697",64.74,65.75,63.99
06/20/2019,64.45,"61,159",62.21,64.81,62.17
06/19/2019,61.82,"48,916",62.25,62.52,61.39
06/18/2019,62.14,"44,666",61.02,62.83,60.25
06/17/2019,60.94,"45,347",61.97,62.35,60.72
06/14/2019,62.01,"37,242",61.38,62.57,60.74
06/13/2019,61.31,"69,718",59.82,62.64,59.76
06/12/2019,59.97,"44,274",62.11,62.11,59.57
06/11/2019,62.29,"39,556",62.36,62.87,62.01
06/10/2019,62.29,"32,712",63.69,64.13,62.05
06/07/2019,63.29,"42,324",62.22,63.58,61.78
06/06/2019,61.67,"47,126",60.58,62.42,60.14
06/05/2019,60.63,"64,379",61.48,62.26,59.45
06/04/2019,61.97,"56,144",60.84,62.1,60.22
06/03/2019,61.28,"58,486",61.6,62.83,60.46
05/31/2019,61.99,"1,068",66.71,66.73,64.42
05/30/2019,66.87,"11,979",69.73,69.95,66.3
05/29/2019,69.45,"27,487",70.05,70.09,68.07
05/28/2019,70.11,"55,439",69.1,70.58,68.55
05/24/2019,68.69,"11,708",69.1,70.22,68.55
05/23/2019,67.76,"76,795",70.88,70.93,67
05/22/2019,70.99,"53,317",72,72.03,70.42
05/21/2019,72.18,"52,232",72.14,72.52,71.61
05/20/2019,71.97,"45,718",72.35,73.39,71.59
05/17/2019,72.21,"41,701",72.79,73.23,71.78
05/16/2019,72.62,"55,629",71.95,73.35,71.82
05/15/2019,71.77,"47,306",70.98,72.25,70.42
05/14/2019,71.24,"56,338",69.99,71.64,69.93
05/13/2019,70.23,"58,033",70.9,72.57,69.73
05/10/2019,70.62,"49,640",70.3,71.23,70.17
